bidder;bidderrate
98;2.0
445;0.0
76;1.0
669;18.0
89;25.0
338;9.0
40;1.0
46;2.0
687;0.0
468;3.0
444;0.0
90;0.0
536;0.0
698;1.0
643;5.0
884;1.0
841;3.0
837;0.0
103;29.0
411;4.0
8;56.0
651;0.0
93;0.0
702;33.0
644;0.0
832;3.0
722;7.0
70;36.0
829;8.0
496;0.0
442;38.0
706;0.0
456;0.0
108;27.0
719;10.0
859;200.0
576;26.0
865;46.0
478;0.0
342;6.0
860;1.0
648;72.0
332;0.0
471;2.0
485;0.0
340;38.0
529;19.0
313;0.0
891;0.0
675;3.0
309;0.0
652;4.0
111;207.0
438;0.0
354;174.0
598;8.0
35;48.0
259;23.0
739;0.0
360;48.0
594;0.0
327;221.0
601;778.0
384;3.0
802;2.0
677;12.0
382;2.0
752;8.0
362;7.0
288;135.0
71;0.0
607;13.0
363;8.0
347;0.0
24;2.0
469;1.0
550;0.0
123;0.0
186;0.0
142;5.0
257;0.0
600;33.0
2;3.0
30;5.0
672;5.0
439;18.0
769;0.0
716;71.0
27;0.0
605;11.0
9;5.0
729;46.0
771;22.0
464;29.0
691;10.0
650;24.0
864;12.0
774;64.0
351;0.0
519;102.0
631;2.0
866;3.0
460;0.0
588;1.0
285;2.0
51;1.0
113;60.0
782;1.0
888;1.0
869;0.0
72;5.0
720;4.0
74;7.0
882;0.0
203;5.0
754;146.0
596;3.0
433;26.0
615;6.0
379;6.0
590;71.0
854;99.0
82;3.0
246;8.0
78;29.0
619;1.0
647;28.0
307;0.0
187;54.0
124;67.0
515;1.0
47;9.0
858;55.0
582;0.0
125;2.0
714;4.0
196;1.0
640;3.0
176;19.0
880;4.0
562;50.0
454;31.0
137;36.0
319;17.0
472;214.0
437;26.0
120;1.0
885;5.0
761;11.0
552;17.0
345;0.0
540;0.0
825;354.0
808;3.0
53;1.0
202;23.0
127;0.0
770;13.0
707;3.0
370;0.0
57;1.0
787;1.0
796;0.0
358;0.0
219;42.0
170;1.0
620;61.0
230;16.0
353;46.0
153;69.0
166;1.0
405;7.0
548;0.0
507;11.0
657;15.0
294;5.0
660;38.0
526;2.0
41;9.0
112;2.0
624;11.0
298;2.0
135;161.0
408;1.0
277;2.0
140;43.0
235;308.0
846;34.0
528;7.0
531;3.0
390;7.0
25;2.0
462;19.0
418;1.0
377;1.0
267;29.0
18;8.0
97;1.0
205;1.0
269;8.0
510;0.0
443;7.0
323;0.0
533;0.0
171;341.0
730;29.0
557;8.0
255;1.0
240;0.0
130;17.0
748;0.0
180;3.0
270;21.0
520;87.0
311;3.0
404;9.0
163;26.0
429;30.0
527;23.0
241;0.0
555;6.0
816;6.0
567;10.0
207;21.0
392;31.0
581;0.0
732;16.0
642;2.0
67;1.0
617;1.0
480;62.0
352;35.0
577;0.0
599;4.0
398;84.0
420;18.0
484;2.0
38;8.0
341;2.0
646;31.0
330;56.0
790;0.0
268;2.0
566;4.0
573;19.0
331;0.0
626;1.0
295;33.0
777;2.0
609;2.0
632;4.0
265;0.0
154;49.0
148;42.0
604;242.0
232;15.0
14;0.0
150;0.0
4;25.0
450;1.0
689;4.0
432;15.0
654;33.0
834;12.0
99;6.0
278;9.0
628;1.0
476;14.0
36;13.0
316;0.0
218;6.0
699;13.0
703;4.0
538;2.0
819;77.0
743;8.0
545;82.0
197;3.0
92;47.0
45;1.0
608;5.0
758;5.0
304;0.0
234;21.0
696;23.0
200;0.0
110;58.0
674;0.0
419;78.0
220;5.0
737;14.0
868;1.0
333;1.0
470;0.0
740;1.0
335;67.0
874;22.0
182;31.0
492;91.0
870;7.0
406;8.0
174;0.0
256;7.0
805;7.0
221;17.0
15;1.0
684;7.0
146;16.0
188;6.0
357;229.0
768;3.0
775;1.0
679;7.0
759;19.0
305;3.0
876;19.0
715;0.0
181;24.0
66;15.0
639;3.0
638;10.0
465;416.0
424;16.0
428;0.0
592;3.0
697;16.0
886;11.0
850;15.0
198;0.0
169;6.0
757;42.0
77;79.0
877;7.0
145;0.0
453;3.0
239;3.0
431;5.0
586;2.0
762;3140.0
3;2.0
128;2.0
857;0.0
441;5.0
842;1.0
810;93.0
143;9.0
321;2.0
272;0.0
821;0.0
498;4.0
708;44.0
867;20.0
159;2.0
126;1.0
344;0.0
161;0.0
28;10.0
602;0.0
767;3.0
569;0.0
477;3.0
813;186.0
728;0.0
680;107.0
62;1.0
692;0.0
862;2.0
667;15.0
551;2.0
385;0.0
741;1.0
365;30.0
564;0.0
789;0.0
168;40.0
497;12.0
516;16.0
532;0.0
613;9.0
151;8.0
851;1.0
275;11.0
312;8.0
369;14.0
700;4.0
185;3.0
416;7.0
274;18.0
173;3.0
34;1.0
763;34.0
21;48.0
297;76.0
376;91.0
279;2.0
91;0.0
359;0.0
580;42.0
584;1.0
109;22.0
364;0.0
60;0.0
300;6.0
659;0.0
317;2.0
794;1.0
104;52.0
603;19.0
399;15.0
875;10.0
44;44.0
326;30.0
59;6.0
160;0.0
165;0.0
371;0.0
386;0.0
809;2.0
177;1.0
815;13.0
388;15.0
95;14.0
23;61.0
543;87.0
778;58.0
131;18.0
861;0.0
621;16.0
69;0.0
213;0.0
322;11.0
29;88.0
243;6.0
738;0.0
80;58.0
749;0.0
547;12.0
164;197.0
346;49.0
843;5.0
380;74.0
455;1.0
755;1.0
504;14.0
258;1.0
373;2.0
336;1.0
228;5.0
167;2.0
779;0.0
361;0.0
244;9.0
209;1.0
481;2.0
329;13.0
822;1.0
387;1.0
879;441.0
147;25.0
747;12.0
473;0.0
199;10.0
266;2.0
530;16.0
413;0.0
144;137.0
784;1.0
96;114.0
292;27.0
630;2.0
201;7.0
467;1.0
786;7.0
833;0.0
303;1.0
733;31.0
58;18.0
183;0.0
422;2.0
766;3.0
678;0.0
1;40.0
355;6.0
237;10.0
276;6.0
381;14.0
349;49.0
522;9.0
42;2.0
447;667.0
807;0.0
686;1.0
645;1.0
434;1.0
827;1.0
291;0.0
563;9.0
618;4.0
499;1.0
804;1.0
488;0.0
48;0.0
656;0.0
835;15.0
509;4.0
662;4.0
693;20.0
873;20.0
523;3.0
704;32.0
302;0.0
591;1.0
263;1.0
448;9.0
806;0.0
840;31.0
852;3.0
242;179.0
85;13.0
287;1.0
83;2.0
817;0.0
856;14.0
589;5.0
299;10.0
839;0.0
878;16.0
26;0.0
383;1.0
681;0.0
206;5.0
65;16.0
114;5.0
178;1.0
451;0.0
753;97.0
204;0.0
845;10.0
118;0.0
734;57.0
86;5.0
534;0.0
705;8.0
475;19.0
671;1.0
881;5.0
310;104.0
506;10.0
155;4.0
84;7.0
818;3.0
138;45.0
685;263.0
717;5.0
559;18.0
296;8.0
848;7.0
356;1.0
668;2.0
233;0.0
489;4.0
64;24.0
350;5.0
641;116.0
793;10.0
558;18.0
811;1.0
890;0.0
136;5.0
75;7.0
544;1.0
410;17.0
838;3.0
883;23.0
415;7.0
676;27.0
158;143.0
368;32.0
844;0.0
73;37.0
301;0.0
318;6.0
611;1.0
247;14.0
250;38.0
55;0.0
325;4.0
688;977.0
556;12.0
375;0.0
407;0.0
723;2.0
391;4.0
635;44.0
334;34.0
229;9.0
800;52.0
458;6.0
115;110.0
663;5.0
394;7.0
33;18.0
39;70.0
414;13.0
783;5.0
765;7.0
13;29.0
54;0.0
785;0.0
502;3.0
149;6.0
7;26.0
479;62.0
583;4.0
224;23.0
102;55.0
248;2.0
463;0.0
20;0.0
712;5.0
863;52.0
511;1.0
721;1.0
658;8.0
162;0.0
486;1.0
175;0.0
393;11.0
780;20.0
435;5.0
423;1.0
122;27.0
306;1.0
724;20.0
690;0.0
402;22.0
512;1.0
286;4.0
670;23.0
440;4.0
214;6.0
315;22.0
282;0.0
826;2.0
378;16.0
824;7.0
10;7.0
179;11.0
61;181.0
574;4.0
372;1.0
308;49.0
133;4.0
760;0.0
389;1.0
223;1.0
627;5.0
117;25.0
713;3.0
409;51.0
756;1.0
245;17.0
744;28.0
636;1.0
849;0.0
184;14.0
682;0.0
751;1.0
210;0.0
625;40.0
417;327.0
208;16.0
16;14.0
593;2.0
426;0.0
403;8.0
847;15.0
537;6.0
539;3.0
43;0.0
554;0.0
546;104.0
11;0.0
461;8.0
192;2.0
814;135.0
172;2.0
191;0.0
17;12.0
801;71.0
735;30.0
637;1.0
553;103.0
750;1.0
289;2.0
683;20.0
514;2.0
629;3.0
339;13.0
587;2.0
459;8.0
449;11.0
513;2.0
217;30.0
524;3.0
19;0.0
575;2.0
474;0.0
517;0.0
6;0.0
49;1.0
273;28.0
490;29.0
482;0.0
501;0.0
542;2.0
12;2.0
457;4.0
215;4.0
260;0.0
119;6.0
452;8.0
695;1.0
745;0.0
466;0.0
52;0.0
610;0.0
129;7.0
797;9.0
664;16.0
549;13.0
493;9.0
216;0.0
792;17.0
571;1.0
31;0.0
253;0.0
710;2.0
189;31.0
495;1684.0
337;0.0
397;12.0
271;3.0
616;53.0
831;1.0
190;95.0
736;3.0
0;296.0
366;0.0
87;24.0
254;0.0
152;17.0
500;0.0
505;0.0
314;5.0
622;1.0
225;4.0
503;20.0
855;11.0
105;5.0
871;33.0
5;3.0
673;5.0
798;28.0
227;0.0
561;0.0
764;8.0
236;0.0
222;21.0
79;0.0
578;62.0
491;6.0
211;5.0
872;12.0
781;17.0
791;162.0
746;2.0
436;0.0
709;106.0
367;1.0
425;0.0
830;0.0
799;48.0
494;27.0
396;25.0
572;1.0
541;2.0
560;1.0
597;63.0
68;16.0
483;82.0
212;1.0
22;
535;50.0
106;1.0
812;9.0
634;6.0
132;4.0
116;40.0
788;218.0
430;2.0
226;18.0
141;0.0
887;3.0
412;1.0
421;9.0
262;2.0
773;0.0
134;3.0
328;8.0
94;1.0
823;0.0
238;0.0
803;2.0
88;0.0
101;18.0
487;132.0
50;25.0
264;10.0
853;0.0
427;4.0
37;27.0
281;8.0
612;5.0
661;1.0
283;0.0
139;14.0
828;0.0
446;2.0
508;1.0
249;3.0
518;8.0
284;0.0
348;0.0
320;6.0
374;18.0
400;0.0
606;0.0
772;1.0
395;48.0
633;0.0
290;7.0
742;17.0
401;12.0
324;82.0
156;0.0
649;2.0
195;0.0
194;1.0
261;196.0
623;5.0
820;3.0
718;4.0
725;83.0
252;1.0
836;156.0
579;0.0
666;95.0
343;13.0
665;5.0
63;9.0
731;37.0
570;138.0
565;8.0
231;25.0
776;15.0
525;3.0
585;11.0
694;6.0
795;8.0
521;0.0
121;0.0
889;3.0
727;4.0
711;7.0
568;0.0
193;24.0
280;17.0
653;147.0
56;0.0
32;0.0
107;0.0
595;3.0
100;3.0
614;12.0
655;0.0
726;29.0
81;0.0
701;0.0
251;21.0
293;7.0
157;2.0
